month,VolumeTo
50332-05,219455683.08035553
50335-02,320583612.23009104
50337-11,242341031.0616692
50340-08,257056552.43007565
50343-05,209489039.34104192
50346-01,189870380.85778692
50348-10,141878775.40909585
50351-07,167440553.7493928
50354-04,181750674.82134953
50357-01,194335432.4375409
50359-10,331238049.64074606
50362-07,284286378.50810045
50365-03,199749585.9695036
50367-12,145636226.4590289
50370-09,136710618.49801704
50373-06,196788994.26580808
50376-03,288070643.9128678
50378-12,237956894.04949045
50381-09,231017579.83413267
50384-05,211458512.1230823
50387-02,203370447.69065264
50389-11,211737376.85348508
50392-08,244167051.18701583
50395-05,237722147.65258065
50398-02,207006657.7801965
50400-11,192949056.8419996
50403-07,178204158.39968467
50406-04,147171153.412775
50409-01,367338754.56308055
50411-10,233056682.85777128
50414-07,245787800.8012235
50417-04,295395681.6623412
50420-01,289074808.78413
50422-09,196192096.14553955
50425-06,143760033.69408152
50428-03,129120718.76299886
50430-12,208570443.95997888
50433-09,163420093.794135
50436-06,175935335.65057912
50439-03,171149859.23602843
50441-11,327460666.9145165
50444-08,162755765.84514263
50447-05,284095336.0578902
50450-02,242859915.8036461
50452-11,119676555.56449406
50455-08,117103011.80356832
50458-05,185247010.87925187
50461-01,201409363.91549844
50463-10,241568568.0310778
50466-07,175096501.49486908
50469-04,235524330.64865333
50472-01,254550438.13768885
50474-10,156277884.33011597
50477-07,230809190.30740517
50480-03,192230903.67599213
50482-12,158034155.17779145
50485-09,165941351.79836008
50488-06,179250573.66648534
50491-03,249099760.1897497
50493-12,182357469.02807087
50496-08,194325733.7875043
50499-05,164467999.80925834
50502-02,110959488.24719918
50504-11,145409822.7448766
50507-08,237104112.45049536
50510-05,364669305.0369064
50513-02,440669913.2083524
50515-10,305198281.13948625
50518-07,342862693.0959096
50521-04,212126417.2287315
50524-01,225619234.83744207
50526-10,320156546.58240986
50529-07,487117211.68189824
50532-04,398119757.80385005
50534-12,352101207.6799552
50537-09,350881696.75270694
50540-06,214357817.0314018
50543-03,209564023.05224952
50545-12,321599782.180698
50548-09,379841367.2024023
50551-06,322252070.44348675
50554-02,285656680.7015636
50556-11,330599837.7285522
50559-08,262282965.4857332
50562-05,229992627.52322164
50565-02,229071781.11536673
50567-11,316365882.1031662
50570-08,382460776.49398136
50573-04,332880900.89059937
50576-01,374699380.94849145
50578-10,291056267.0892287
50581-07,243227298.87942725
50584-04,341552293.0073
50587-01,303179556.3624503
50589-10,439109005.4034304
50592-06,307755605.1624039
50595-03,374472431.7235812
50597-12,345964004.3657212
50600-09,289271954.5532653
50603-06,317617945.7492608
50606-03,265458342.7817206
50608-12,512501182.2029021
50611-08,259786384.55491504
50614-05,251513064.47447148
50617-02,129083702.47542232
50619-11,134117930.3957502
50622-08,254214730.3171242
50625-05,338220284.29016566
50628-02,304565438.4850058
50630-10,309357226.58362526
50633-07,282722730.06131953
50636-04,287299347.7691456
50639-01,288526018.71327895
50641-10,235393601.4251404
50644-07,258978411.271086
50647-04,449463489.0579976
50649-12,390391932.2091176
50652-09,250716129.90518975
50655-06,241711345.37120345
50658-03,233583450.10542047
50660-12,204178349.9698747
50663-09,208346648.80045933
50666-06,197398009.0125667
50669-02,260985165.19184464
50671-11,241466662.64800572
50674-08,164557841.0798692
50677-05,178614079.15149954
50680-02,228970700.75042212
50682-11,205736329.40707865
50685-07,247455364.5237956
50688-04,161844271.63360685
50691-01,345746941.9999864
50693-10,197210670.89197847
50696-07,203479219.38640648
50699-04,234355999.54311827
50702-01,258927200.8310643
50704-09,216859675.30134344
50707-06,216914853.24175173
50710-03,283144987.50423056
50712-12,198424303.60660568
50715-09,183438992.37719536
50718-06,136115256.9683068
50721-03,185725492.2802391
50723-11,184622957.0249073
50726-08,132348680.67600606
50729-05,106264514.65757656
50732-02,72247942.41429408
50734-11,114489082.7536428
50737-08,153704602.4302414
50740-05,102115186.42882323
50743-01,101609680.88217255
50745-10,308153124.4458242
50748-07,183030273.0112748
50751-04,120728650.99596693
50754-01,99527294.08483064
50756-10,627984505.5555727
50759-07,186122772.22286084
50762-03,179641733.16423723
50764-12,134777360.1544343
50767-09,136686215.6690547
50770-06,126325797.49570584
50773-03,43146401.58918715
50775-12,106815019.55165032
50778-09,90969791.0251596
50781-05,78795617.02141578
50784-02,67691945.44596253
50786-11,61792487.79642334
50789-08,50667220.04441258
50792-05,37298357.26271342
50795-02,88484721.03624511
50797-11,56393439.18288881
50800-07,76970488.28166042
50803-04,58031686.8315247
50806-01,62589428.22024873
50808-10,48934237.93991929
50811-07,68169573.18695
50814-04,58127213.13931594
50816-12,77336101.18719475
50819-09,93820576.63463956
50822-06,86450363.67835227
50825-03,75997777.50255908
50827-12,49745307.64123968
50830-09,52709099.31784609
50833-06,65390882.14088421
50836-03,76142983.15196352
50838-11,279632622.8943677
50841-08,270133503.66131264
50844-05,219097215.966752
50847-02,148072393.10210443
50849-11,134893236.9862243
50852-08,368688743.45440894
50855-05,548036628.7293574
50858-01,281264433.4846592
50860-10,157459733.72414753
50863-07,215283656.11539477
50866-04,258702927.69916424
50869-01,398253568.5292384
50871-10,373225761.8074076
50874-06,257593168.12182525
50877-03,382697308.297627
50879-12,316809038.40988266
50882-09,278810574.935784
50885-06,186157614.3155972
50888-03,162917339.00647366
50890-12,195055919.54337287
50893-08,191673423.70626593
50896-05,169404368.19157183
50899-02,254722331.4949405
50901-11,322364604.2802089
50904-08,187909876.24894735
50907-05,161618597.82859048
50910-02,142507933.07357892
50912-10,121841475.29281934
50915-07,116227185.79240072
50918-04,134817053.72748312
50921-01,145101409.49359843
50923-10,95588793.64058843
50926-07,80068159.40481837
50929-04,228756567.64954677
50931-12,216563775.02523196
50934-09,352638213.53853136
50937-06,399967057.78281647
