time,Open,High,Low,Close,VolumeFrom,VolumeTo
2025-02-13,2738.57,2758.43,2613.47,2676.25,641770.87,1713663665.98
2025-02-14,2676.25,2792.57,2665.32,2726.02,455393.53,1240341141.4
2025-02-15,2726.02,2739.45,2669.92,2693.56,193220.8,522207024.56
2025-02-16,2693.56,2726.44,2652.48,2661.59,222344.21,597267557.19
2025-02-17,2661.59,2849.7,2638.4,2744.13,658802.74,1808500589.29
2025-02-18,2744.13,2756.89,2604.91,2670.43,782871.53,2088590910.25
2025-02-19,2670.43,2736.55,2655.15,2715.47,357866.03,967477746.93
2025-02-20,2715.47,2771.4,2707.57,2738.98,307273.65,841013806.86
2025-02-21,2738.98,2846.45,2614.91,2661.6,973132.84,2643981389.13
2025-02-22,2661.6,2797.94,2652.29,2763.54,325917.91,890496240.67
2025-02-23,2763.54,2855.62,2745.76,2819.92,377823.95,1058360404.79
2025-02-24,2819.92,2839.7,2472.67,2513.65,860333.28,2290917461.03
2025-02-25,2513.65,2530.78,2321.8,2492.48,1322164.02,3220072359.52
2025-02-26,2492.48,2504.36,2253.78,2333.12,953519.11,2258691011.15
2025-02-27,2333.12,2379.42,2227.96,2305.51,755764.07,1749329389.64
2025-02-28,2305.51,2312.03,2074.27,2236.53,1316509.15,2863531712.08
2025-03-01,2236.53,2280.48,2142.32,2216.72,412403.61,911551564.28
2025-03-02,2216.72,2551.36,2172.23,2518.51,1112129.61,2649980865.8
2025-03-03,2518.51,2523.92,2095.86,2147.5,1242863.16,2817538032.17
2025-03-04,2147.5,2221.77,1992.64,2171.13,1580979.38,3312378978.4
2025-03-05,2171.13,2272.97,2154.95,2241.7,645690.07,1419894367.7
2025-03-06,2241.7,2319.94,2176.6,2202.6,553619.95,1241687549.9
2025-03-07,2202.6,2258.09,2102.41,2140.93,913517.64,1983561951.51
2025-03-08,2140.93,2234.23,2104.79,2203.24,276962.45,601813434.43
2025-03-09,2203.24,2211.63,1989.92,2020.01,551903.26,1140040601.08
2025-03-10,2020.01,2152.22,1810.22,1864.38,1275432.63,2508045690.95
2025-03-11,1864.38,1962.74,1754.47,1922.98,1202903.6,2270225385.14
2025-03-12,1922.98,1956.11,1829.6,1907.9,815698.51,1544805794.26
2025-03-13,1907.9,1920.23,1821.32,1863.87,607489.54,1138988132.52
2025-03-14,1863.87,1945.8,1860.72,1911.53,346234.96,661654970.12
